Date,Title,Lehrstuhl,Description,Link
2022/11/28,28.11.2022 | Infoveranstaltung Masterarbeit am Lehrstuhl für Gesundheitsmanagement,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Gesundheitsmanagement",Für Interessenten an einer Masterarbeit am Lehrstuhl für Gesundheitsmanagement möchten wir gerne auf eine Informationsveranstaltung hinweisen. Die Infoveranstaltung findet am 12.12.2022 um 09:45 – 11:15 Uhr im LG 0.141 statt. Neben einem Überblick über alle Voraussetzungen zur Anfertigung der Masterarbeit am Lehrstuhl wird es schwerpunktmäßig um den Ablauf der Themen-/Betreuungsfindung...,https://www.gm.rw.fau.de/2022/11/28/28-11-2022-infoveranstaltung-masterarbeit-am-lehrstuhl-fuer-gesundheitsmanagement/
2022/11/24,24.11.2022 | Klausurtermine für das Wintersemester 2022/23,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Gesundheitsmanagement","Die Klausurtermine für das Wintersemester 2022/2023 finden Sie in der folgenden Übersicht. Modul Datum Uhrzeit Raum/Anmerkung MASTER Planspiel Mittwoch, 14. Dezember 2022 15:15-16:15 0.423 Medical Technology Management Mittwoch, 21. Dezember 2022 15:15-16:15 5.152 Nachholklausuren Donnerstag, 19. Januar 2023 Gesundheitsökonomische Evaluationen II Montag, 30. Januar 2023 15:15 H3 Praxisseminar Montag, 6....",https://www.gm.rw.fau.de/2022/11/24/24-11-2022-klausurtermine-fuer-das-wintersemester-2022-23/
2023/03/08,Stellenausschreibung Studentische Hilfskraft (w/m/d),Lehrstuhl für Rechnungswesen und Controlling,Das Team des Lehrstuhls für Rechnungswesen und Controlling (Prof. Dr. Thomas M. Fischer) sucht zur Unterstützung bei unseren vielfältigen Lehr- und Forschungsaktivitäten im Sommersemester 2023 eine engagierte studentische Hilfskraft (w/m/d). Nähere Informationen zu der ausgeschriebenen Stelle entnehmen Sie bitte der verlinkten Stellenausschreibung. Der Beginn der Tätigkeit ist voraussichtlich ab Anfang...,https://www.controlling.rw.fau.de/2023/03/09/stellenausschreibung-studentische-hilfskraft-m-w-d/
2023/02/23,Stellenausschreibung Tutor(in) „Kostenrechnung und Controlling“ (w/m/d),Lehrstuhl für Rechnungswesen und Controlling,Das Team des Lehrstuhls für Rechnungswesen und Controlling (Prof. Dr. Thomas M. Fischer) sucht zur Unterstützung der Lehraktivitäten im Sommersemester 2023 eine engagierte studentische Hilfskraft (w/m/d). Aufgabe wird die Vorbereitung und Durchführung eines wöchentlichen Tutoriums zur Vertiefung des Vorlesungsstoffs der Bachelorveranstaltung „Kostenrechnung und Controlling“ (KRC) sein. Nähere Informationen zu der...,https://www.controlling.rw.fau.de/2023/02/23/stellenausschreibung-tutorin-kostenrechnung-und-controlling-w-m-d/
2023/01/26,Themenvorstellung des MA-Kooperationsseminars Challenges in Business Management (CBM) mit dem Siemens CFO Prof. Dr. Ralf P. Thomas,Lehrstuhl für Rechnungswesen und Controlling,"Themenvorstellung des MA-Kooperationsseminars Challenges in Business Management (CBM) mit dem Siemens CFO Prof. Dr. Ralf P. Thomas Am Donnerstag, den 02.02.2023 von 17.00 &#8211; 18.00 Uhr, stellt der Lehrstuhl für Rechnungswesen und Controlling (Prof. Dr. Thomas M. Fischer) die Themen und den Ablauf für das Kooperationsseminar &#8222;Challenges in Business Management&#8220;...",https://www.controlling.rw.fau.de/2023/01/26/themenvorstellung-des-ma-kooperationsseminars-challenges-in-business-management-cbm-mit-dem-siemens-cfo-prof-dr-ralf-p-thomas/
2023/01/13,Vorstellung der Bachelorarbeitsthemen für das SoSe 2023,Lehrstuhl für Rechnungswesen und Controlling,"Liebe BA-Studierende, am Montag, den 06.02.2023 von 15.00 – 16.00 Uhr, stellt der Lehrstuhl für Rechnungswesen und Controlling (Prof. Dr. Thomas M. Fischer) die Themen und den Ablauf für die Bearbeitung der Bachelorarbeiten im Sommersemester 2023 in Raum LG H5 vor. Die Bewerbung ist bis Freitag, den 10.02.2023 (12.00 Uhr),...",https://www.controlling.rw.fau.de/2023/01/13/vorstellung-der-bachelorarbeitsthemen-fuer-das-sose-2023/
2023/01/13,Successful Pitch of the MA-Seminar „Digital Innovation & Business Planning” (DIB),Lehrstuhl für Rechnungswesen und Controlling,"Successful Pitch of the MA-Seminar „Digital Innovation &#38; Business Planning” (DIB) We are glad to announce the successful pitch presentations of our MA-Seminar „Digital Innovation &#38; Business Planning” (DIB) at the Chair of Accounting and Management Control (Prof. Dr. Thomas M. Fischer), jointly with Siemens Healthineers and Valsight. On January...",https://www.controlling.rw.fau.de/2023/01/13/successful-pitch-of-the-ma-seminar-digital-innovation-business-planning-dib-2/
2023/01/13,Erfolgreicher Abschluss des Hauptseminar Controlling im WiSe 2022/23,Lehrstuhl für Rechnungswesen und Controlling,Erfolgreicher Abschluss des Hauptseminar Controlling im WiSe 2022/23 &#160; Am 17. Oktober 2022 startete das Hauptseminar Controlling zum Thema „Neuere Entwicklungen im Controlling und Reporting“. Die neun MA-Studierenden erhielten im Rahmen des Seminars einen intensiven Einblick in aktuelle Entwicklungen im Bereich des Controllings und Reportings. Innerhalb eines neunwöchigen Bearbeitungszeitraums konnten...,https://www.controlling.rw.fau.de/2023/01/13/erfolgreicher-abschluss-des-hauptseminar-controlling-im-wise-2022-23/
2022/12/12,Raumänderungen Tutorium Controlling of Business Development (CBD) ab 19.12.2022,Lehrstuhl für Rechnungswesen und Controlling,"Liebe Studierende, bitte beachten Sie die geänderten Räume für die Termine des Tutoriums in Controlling of Business Development (CBD) ab Montag, 19.12.2022. Das Tutorium wird am 19.12.2022 einmalig im Raum LG 5.154 stattfinden. Nach der Pause über die Weihnachtsfeiertage und den Jahreswechsel findet das Tutorium anschließend ab 09.01.2023 für die...",https://www.controlling.rw.fau.de/2022/12/12/raumaenderungen-tutorium-controlling-of-business-development-cbd-ab-19-12-2022/
2022/12/06,Gastvortrag „Einblick in die Praxis der Kosten- und Ergebnisrechnung“ von Herrn Niko Hofmann (Horváth & Partners),Lehrstuhl für Rechnungswesen und Controlling,"Am 05.12.2022 haben wir Herrn Niko Hofmann in unserer Bachelorvorlesung „Kostenrechnung und Controlling“ (KRC) mit einem Gastvortrag zum Thema „Einblick in die Praxis der Kosten- und Ergebnisrechnung“ begrüßt. &#160; Herr Hofmann, Partner im Bereich Controlling and Finance bei Horváth &#38; Partners gab spannende Einblicke zur Anwendung der Kostenrechnung und des operativen...",https://www.controlling.rw.fau.de/2022/12/06/gastvortrag-einblick-in-die-praxis-der-kosten-und-ergebnisrechnung-von-herrn-niko-hofmann-horvath-partners-2/
2022/11/24,Gastvortrag „Digital Transformation in Controlling & Finance at Siemens Healthineers“ von Frau Richwien (Siemens Healthineers) und Frau Thaler (Siemens Healthineers),Lehrstuhl für Rechnungswesen und Controlling,"Gastvortrag „Digital Transformation in Controlling &#38; Finance at Siemens Healthineers“ von Frau Richwien (Siemens Healthineers) und Frau Thaler (Siemens Healthineers) Am 21.11.2022 fand im Rahmen der Masterveranstaltung „Controlling of Business Systems“ (CBS) der Gastvortrag „Digital Transformation in Controlling &#38; Finance at SHS“ statt. Frau Judit Richwien, Executive Vice President Customer...",https://www.controlling.rw.fau.de/2022/11/24/gastvortrag-digital-transformation-in-controlling-finance-at-siemens-healthineers-von-frau-richwien-siemens-healthineers-und-frau-thaler-siemens-healthineers/
2022/11/24,Start des MA-Seminars Digital Innovation & Business Planning (DIB),Lehrstuhl für Rechnungswesen und Controlling,"Start des MA-Seminars Digital Innovation &#38; Business Planning (DIB) Das Seminar Digital Innovation &#38; Business Planning (DIB) in Kooperation mit Siemens Healthineers und Valsight startet für MA-Studierende am Donnerstag, den 01.12.2022. Nähere Informationen finden Sie unter dem Reiter Studium bzw. auf StudOn",https://www.controlling.rw.fau.de/2022/11/24/start-des-ma-seminars-digital-innovation-business-planning-dib/
2023/03/08,Jetzt bewerben: ProSeminar im Sommersemester 2023,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management",Du bist aktuell im Masterstudium? Du willst raus aus dem Hörsaal? Du willst die Theorie endlich in der Praxis anwenden? Du willst Kontakt zu künftigen Arbeitgebern oder potentiellen Partnern für eine Abschlussarbeit? Dann ist das ProSeminar am Lehrstuhl für Supply Chain Management genau das Richtige für Dich! &#160; Im ProSeminar...,https://www.scm.rw.fau.de/2023/03/08/jetzt-bewerben-proseminar-im-sommersemester-2023/
2023/02/22,KinderUni: Wie kommen die Fruchtzwerge zu Dir in den Kühlschrank?,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management","Dieser Frage ging der Lehrstuhl für Supply Chain Management zusammen mit ca. 30 Kindern im Rahmen der KinderUni der FAU am Dienstag den 21. Februar 2023 nach. Durchgeführt wurde die Veranstaltung von Herrn Dr. Christoph Küffner. Neben Fragen zur Beschaffung von Rohstoffen, der Produktion von Joghurt und der damit verbundenen...",https://www.scm.rw.fau.de/2023/02/22/kinderuni-wie-kommen-die-fruchtzwerge-zu-dir-in-den-kuehlschrank/
2023/02/04,Wie fühlt sich eigentlich verhandeln an?,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management",Vor dieser Frage standen die Studierenden der Vorlesung „Strategic Supply Management &#8211; und die Antwort erhielten sie im Verhandlungstraining von Continental am 27. Januar 2023. Durchgeführt wurde das Training von Herrn Andreas Hirl und Herrn Stefan Steinbeck. Nach einer kurzen Einführung in die verschiedenen Verhandlungstechniken simulierten die Studierenden anhand einer...,https://www.scm.rw.fau.de/2023/02/04/wie-fuehlt-sich-eigentlich-verhandeln-an/
2023/02/03,Publikation des Lehrstuhls für Supply Chain Management in der Covid-19 Research Database der World Health Organization gelistet,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management","Der Lehrstuhl für Supply Chain Management ist mit der Publikation &#8222;Building Resilience Through Foresight: The Case of Maritime Container Shipping Firms&#8220; von Dr. Henrik Bathke, Dr. Christopher Münch, Prof. Dr. Heiko von der Gracht und Prof. Dr.-Ing. Evi Hartmann in der Research Database der World Health Organization (WHO) gelistet. Zugang...",https://www.scm.rw.fau.de/2023/02/03/publikation-des-lehrstuhls-fuer-supply-chain-management-in-der-covid-19-research-database-der-world-health-organization-gelistet/
2023/01/09,Neue Mitarbeiterin am Lehrstuhl | Julika Borgdorf,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management",Herzlich Willkommen! Julika Borgdorf verstärkt seit dem 01.01.2023 den Lehrstuhl für Supply Chain Management als wissenschaftliche Mitarbeiterin. Sie studierte von 2016 bis 2019 dual Wirtschaftsingenieurwesen (Bachelor of Engineering) an der DHBW Stuttgart und ist seit 2020 im Master Wirtschaftsingenieurwesen (Master of Science) an der Friedrich-Alexander-Universität Erlangen-Nürnberg. Ihre Studienschwerpunkte lagen u.a....,https://www.scm.rw.fau.de/2023/01/09/neue-mitarbeiterin-am-lehrstuhl-julika-borgdorf/
2022/12/16,Der Lehrstuhl für SCM wünscht frohe Weihnachten und einen guten Rutsch!,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management","Frau Prof. Dr.-Ing. Evi Hartmann und das gesamte Team des Lehrstuhls für Supply Chain Management blicken auf ein spannendes und erfolgreiches Jahr 2022 zurück und bedanken uns bei allen Praxispartnern und Gastredner:innen für die tolle Zusammenarbeit in diesem Jahr. Wir wünschen allen unseren Praxispartnern, Gastredner:innen und Studierenden frohe Weihnachten und...",https://www.scm.rw.fau.de/2022/12/16/der-lehrstuhl-fuer-scm-wuenscht-frohe-weihnachten-und-einen-guten-rutsch/
2022/12/12,Beer Game: Den Bullwhip-Effekt spielerisch erfahren,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management","Am Donnerstag, den 08.12.2022, durften zehn Masterstudierende aus dem Kurs Produktions- und Supply Chain Management das „Beer Game“ spielen. Das Simulationsspiel zeigt spielerisch die Entwicklung des Bullwhip-Effekts in der Lieferkette. &#160; Im Beer Game wurden die Studierenden als Brauerei, Groß-, Zwischen- oder Einzelhändler selbst Teil einer Bier-Lieferkette. Die Teilnehmer sollten...",https://www.scm.rw.fau.de/2022/12/12/beer-game-den-bullwhip-effekt-spielerisch-erfahren/
2022/12/06,Gastvortrag von Dr. Fabian Buder vom Nürnberg Institut für Marktentscheidungen e.V.,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management","In unserem Seminar &#8222;Strategische Vorausschau in Theorie und Praxis&#8220; hatten wir am 05.12.2022 einen spannenden Gastvortrag von Herrn Dr. Buder vom NIM (Nürnberg Institut für Marktentscheidungen e.V.). Die Studierenden konnten ihre Zukunftsthemen challengen und &#8222;toxic assumptions&#8220; herausfiltern. Wir, Prof. Dr.-Ing. Evi Hartmann, Annika Wohlleber und der gesamte Lehrstuhl für Supply...",https://www.scm.rw.fau.de/2022/12/06/gastvortrag-von-dr-fabian-buder-vom-nuernberg-institut-fuer-marktentscheidungen-e-v/
2022/12/02,Internationaler Tag zur Abschaffung der Sklaverei: Lehrstuhl für SCM mit Interview im RedaktionsNetzwerk Deutschland,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management",Am 02. Dezember 1949 verabschiedeten die Vereinten Nationen eine Konvention zur Bekämpfung des Menschenhandels und der Ausbeutung von Personen. Der Tag wurde zum Welttag der Sklaverei ausgerufen und soll die Regierungen und Bevölkerung der Mitgliedsstaaten an diese Verabschiedung erinnern und zum gemeinsamen Vorgehen gegen moderne Sklaverei auffordern. Hat sich seitdem...,https://www.scm.rw.fau.de/2022/12/02/internationaler-tag-zur-abschaffung-der-sklaverei-lehrstuhl-fuer-scm-mit-interview-im-redaktionsnetzwerk-deutschland/
2022/11/29,3. Reverse Mentoring mit Siemens SI LOG,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management","Zum dritten Mal haben wir vom Lehrstuhl für Supply Chain Management am 28.11. eine Reverse Mentoring Session zum Thema &#8222;Digital Natives: Watching a Changing World from the First Row&#8220; zusammen mit SI LOG und unseren Studierenden veranstaltet. Wir, Prof. Dr.-Ing. Evi Hartmann, Christoph Küffner, Annika Wohlleber und der Rest des Lehrstuhls, bedanken uns bei...",https://www.scm.rw.fau.de/2022/11/29/3-reverse-mentoring-mit-siemens-si-log/
2023/03/08,Wissenschaftliche/r Mitarbeiter/in gesucht,GfK-Lehrstuhl für Marketing Intelligence,"Der GfK-Lehrstuhl für Marketing Intelligence sucht zum nächstmöglichen Zeitpunkt eine/n wissenschaftliche/n Mitarbeiter/in (m/w/d) zur Promotion. Ihre Forschungsprojekte werden intensiv betreut und aktiv unterstützt. Sie wirken bei Publikationen in führenden internationalen, wissenschaftlichen Zeitschriften mit. Ebenfalls haben Sie die Möglichkeit, ihre Forschungsergebnisse auf nationalen und internationalen wissenschaftlichen Konferenzen zu präsentieren. Nähere Informationen...",https://www.marketing-intelligence.rw.fau.de/2023/03/08/wissenschaftliche-r-mitarbeiter-in-gesucht-5/
2023/03/08,Klausureinsicht Marketing Management WiSe 2022/2023,GfK-Lehrstuhl für Marketing Intelligence,Die Einsicht in die Klausur Marketing Management wird am 17. April 2023 zwischen 9:45 Uhr und 11:15 Uhr im Raum LG 0.143 stattfinden. Bitte melden Sie sich hierfür zwischen 13. März 2023 und 23. April 2023 12:00 Uhr über StudOn an.,https://www.marketing-intelligence.rw.fau.de/2023/03/08/klausureinsicht-marketing-management-wise-2022-2023/
2023/03/08,Einsichtnahme Absatz Wintersemester 22/23,GfK-Lehrstuhl für Marketing Intelligence,Die Einsichtnahme der Absatzklausur vom Wintersemester 22/23 findet am 17. April 2023 zwischen 9.45 Uhr und 11.15 Uhr im Raum LG 0.143 statt und erfordert eine vorherige verbindliche Anmeldung über StudOn.,https://www.marketing-intelligence.rw.fau.de/2023/03/08/einsichtnahme-absatz-wintersemester-22-23/
2023/01/31,Marketingseminar im SoSe 2023,GfK-Lehrstuhl für Marketing Intelligence,Im SoSe 2023 bietet der GfK-Lehrstuhl für Marketing Intelligence ein forschungsorientiertes Marketingseminar an. Sie können sich vom 06.02.2023 bis 10.02.2023 dafür anmelden. Weitere Informationen zum Seminar finden Sie hier. Für Fragen steht Ihnen Dr. David Schindler gerne zur Verfügung.,https://www.marketing-intelligence.rw.fau.de/2023/01/31/marketingseminar-im-sose-2023/
2023/01/31,Anmeldung zu Bachelorarbeiten im SoSe 2023,GfK-Lehrstuhl für Marketing Intelligence,Im SoSe 2023 bietet der GfK-Lehrstuhl für Marketing Intelligence wieder Bachelorarbeiten an. Sie können sich vom 06.02.2023 bis 10.02.2023 dafür anmelden. Weitere Informationen zum Seminar und den Themen (verfügbar ab dem 30.01.2023) finden Sie hier.,https://www.marketing-intelligence.rw.fau.de/2023/01/31/anmeldung-zu-bachelorarbeiten-im-sose-2023/
2022/10/21,Studienrichtung Marketing und Customer Insights: Einführungsmodul,GfK-Lehrstuhl für Marketing Intelligence,"Das Einführungsmodul der Studienrichtung Marketing &#38; Customer Insights startet bereits Montag, den 24.10.2022 und findet von 13:15 bis 14:45 Uhr im LG H4 Hörsaal mit Frau Prof. Dr. Nicole Koschate-Fischer statt.",https://www.marketing-intelligence.rw.fau.de/2022/10/21/studienrichtung-marketing-und-customer-insights-einfuehrungsmodul/
2022/10/17,Einführungsveranstaltung Master in Marketing im WiSe 2022/23,GfK-Lehrstuhl für Marketing Intelligence,Wir wünschen allen Studierenden einen guten Start in das erste Semester. Die Präsentation der Einführungsveranstaltung des Master in Marketing finden Sie hier.,https://www.marketing-intelligence.rw.fau.de/2022/10/17/einfuehrungsveranstaltung-master-in-marketing-im-wise-2022-23/
2022/10/11,Wissenschaftliche/r Mitarbeiter/in gesucht,GfK-Lehrstuhl für Marketing Intelligence,"Der GfK-Lehrstuhl für Marketing Intelligence sucht zum nächstmöglichen Zeitpunkt eine/n wissenschaftliche/n Mitarbeiter/in (m/w/d) zur Promotion. Ihre Forschungsprojekte werden intensiv betreut und aktiv unterstützt. Sie wirken bei Publikationen in führenden internationalen, wissenschaftlichen Zeitschriften mit. Ebenfalls haben Sie die Möglichkeit, ihre Forschungsergebnisse auf nationalen und internationalen wissenschaftlichen Konferenzen zu präsentieren. Nähere Informationen...",https://www.marketing-intelligence.rw.fau.de/2022/10/11/wissenschaftliche-r-mitarbeiter-in-gesucht-4/
2022/10/05,Einführungsveranstaltung „Marketing im Bachelor“,GfK-Lehrstuhl für Marketing Intelligence,"Die Einführungsveranstaltung „Marketing im Bachelor“ findet am Donnerstag, den 20.10.2022, von 15:00 bis 16:30 Uhr (LG H3) statt. Alle interessierten Studierenden sind herzlich eingeladen!",https://www.marketing-intelligence.rw.fau.de/2022/10/05/einfuehrungsveranstaltung-marketing-im-bachelor-9/
2022/09/12,Klausureinsicht Einführung in das Online-Marketing SoSe 2022,GfK-Lehrstuhl für Marketing Intelligence,Die Einsicht in die Klausur Einführung in das Online-Marketing wird am 02. November 2022 von 16:45 Uhr und 18:00 Uhr in Raum LG 0.222/3 stattfinden. Bitte melden Sie sich hierfür bis zum 01. November 2022 12:00 Uhr über StudOn an.,https://www.marketing-intelligence.rw.fau.de/2022/09/12/klausureinsicht-einfuehrung-in-das-online-marketing-sose-2022/
